"filename", "language", "JSON", "Properties", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\ljubo\Desktop\backend\.env", "Properties", 0, 6, 0, 0, 0, 2, 8
"c:\Users\ljubo\Desktop\backend\.prettierrc", "JSON", 10, 0, 0, 0, 0, 1, 11
"c:\Users\ljubo\Desktop\backend\package-lock.json", "JSON", 3088, 0, 0, 0, 0, 1, 3089
"c:\Users\ljubo\Desktop\backend\package.json", "JSON", 34, 0, 0, 0, 0, 1, 35
"c:\Users\ljubo\Desktop\backend\src\config\config.ts", "TypeScript", 0, 0, 0, 14, 0, 5, 19
"c:\Users\ljubo\Desktop\backend\src\controllers\Match.ts", "TypeScript", 0, 0, 0, 62, 0, 13, 75
"c:\Users\ljubo\Desktop\backend\src\controllers\Player.ts", "TypeScript", 0, 0, 0, 88, 3, 15, 106
"c:\Users\ljubo\Desktop\backend\src\library\Logging.ts", "TypeScript", 0, 0, 0, 7, 0, 5, 12
"c:\Users\ljubo\Desktop\backend\src\models\Match.ts", "TypeScript", 0, 0, 0, 36, 0, 5, 41
"c:\Users\ljubo\Desktop\backend\src\models\Player.ts", "TypeScript", 0, 0, 0, 19, 0, 5, 24
"c:\Users\ljubo\Desktop\backend\src\routes\Match.ts", "TypeScript", 0, 0, 0, 10, 0, 4, 14
"c:\Users\ljubo\Desktop\backend\src\routes\Player.ts", "TypeScript", 0, 0, 0, 11, 0, 4, 15
"c:\Users\ljubo\Desktop\backend\src\server.ts", "TypeScript", 0, 0, 0, 55, 7, 16, 78
"c:\Users\ljubo\Desktop\backend\tsconfig.json", "JSON with Comments", 0, 0, 12, 0, 84, 9, 105
"Total", "-", 3132, 6, 12, 302, 94, 86, 3632
