"filename", "language", "JSON", "JSON with Comments", "Properties", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\ljubo\Desktop\backend\.VSCodeCounter\2022-11-04_22-21-22\details.md", "Markdown", 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\ljubo\Desktop\backend\.VSCodeCounter\2022-11-04_22-21-22\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\ljubo\Desktop\backend\.VSCodeCounter\2022-11-04_22-21-22\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\ljubo\Desktop\backend\.VSCodeCounter\2022-11-04_22-21-22\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ljubo\Desktop\backend\.VSCodeCounter\2022-11-04_22-21-22\results.md", "Markdown", 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\ljubo\Desktop\backend\.env", "Properties", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\ljubo\Desktop\backend\.prettierrc", "JSON", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ljubo\Desktop\backend\package-lock.json", "JSON", 3088, 0, 0, 0, 0, 0, 1, 3089
"c:\Users\ljubo\Desktop\backend\package.json", "JSON", 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\ljubo\Desktop\backend\src\config\config.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\ljubo\Desktop\backend\src\controllers\Match.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 13, 75
"c:\Users\ljubo\Desktop\backend\src\controllers\Player.ts", "TypeScript", 0, 0, 0, 0, 88, 3, 15, 106
"c:\Users\ljubo\Desktop\backend\src\library\Logging.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 5, 12
"c:\Users\ljubo\Desktop\backend\src\models\Match.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 5, 41
"c:\Users\ljubo\Desktop\backend\src\models\Player.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 5, 24
"c:\Users\ljubo\Desktop\backend\src\routes\Match.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 4, 14
"c:\Users\ljubo\Desktop\backend\src\routes\Player.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\ljubo\Desktop\backend\src\server.ts", "TypeScript", 0, 0, 0, 0, 55, 7, 16, 78
"c:\Users\ljubo\Desktop\backend\tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 0, 84, 9, 105
"Total", "-", 3133, 12, 6, 67, 302, 94, 112, 3726
